vida: .word 16, 16
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,4,6,6,6,1,0,0,1,6,7,5,5,0,0,
0,3,5,7,7,7,4,2,2,4,7,7,5,5,2,0,
0,7,15,255,175,7,7,4,4,7,7,7,7,5,4,0,
0,7,95,95,7,7,7,7,7,7,7,7,7,6,3,0,
0,6,7,7,7,7,7,7,7,7,7,7,7,5,4,0,
0,6,87,87,7,7,7,7,7,7,7,7,7,5,4,0,
0,7,167,175,7,7,7,7,7,7,7,7,7,6,4,0,
0,0,5,7,7,7,7,7,7,7,7,7,5,3,0,0,
0,0,2,4,7,7,7,7,7,7,7,4,3,1,0,0,
0,0,0,2,6,7,7,7,7,7,6,3,1,0,0,0,
0,0,0,0,1,7,7,7,7,6,4,0,0,0,0,0,
0,0,0,0,0,0,7,7,5,4,0,0,0,0,0,0,
0,0,0,0,0,0,3,4,4,2,0,0,0,0,0,0,
0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


