navefrontal: .word 20, 18
.byte 0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,109,127,127,109,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,109,127,127,109,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,100,127,127,100,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,100,127,127,100,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,127,127,127,118,118,127,127,127,0,0,0,0,0,0,
0,0,9,27,27,27,127,118,118,118,118,118,118,127,27,27,27,9,0,0,
100,100,118,127,127,127,118,118,118,118,118,118,118,118,127,127,127,118,100,100,
127,127,127,118,118,118,127,127,118,118,118,118,127,127,118,118,118,127,127,127,
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,
118,118,127,127,127,118,0,0,100,127,127,100,0,0,118,127,127,127,118,118,
127,127,109,27,27,27,0,0,109,127,127,109,0,0,27,27,27,109,127,127,
9,9,0,0,0,0,0,0,109,127,127,109,0,0,0,0,0,0,9,9,
0,0,0,0,0,0,0,0,100,127,127,100,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,18,9,109,127,127,109,9,18,0,0,0,0,0,0,
0,0,9,27,27,27,127,127,127,118,118,127,127,127,27,27,27,9,0,0,
0,0,27,127,127,127,127,127,127,118,118,127,127,127,127,127,127,27,0,0,
0,0,27,127,118,118,0,0,109,127,127,109,0,0,118,118,127,27,0,0,


